YEAR,MADE PLAYOFFS,PTS,FPTS,SACKS,INT,TO,PTS ALLOW,PLAYS,YDS,PASS YDS,PASS ATT,PASS COMP,PASS TD,RUSH YDS,RUSH ATT,RUSH TD,TD,RZ ATT,RZ TD,RZ TD PERCENTAGE,FIRST DOWNS,3RD DOWN CONVERSION,4TH DOWN CONVERSION
2020,0,22,27,28,7,10,30,20,27,25,9,14,23,27,27,24,25,21,17,11,24,10,30
2020,0,22,28,31,14,27,31,27,31,27,6,19,27,30,32,29,31,28,28,22,31,21,27
2020,0,22,32,26,30,31,32,27,32,30,16,25,32,28,29,32,32,30,32,31,32,28,22
2019,1,3,32,7,1,2,1,3,1,2,8,1,1,6,5,1,1,1,1,4,1,1,6
2019,1,23,31,12,8,10,2,7,3,4,16,13,2,10,7,9,3,4,6,14,6,7,7
2019,1,1,29,21,12,7,3,1,4,6,12,4,2,5,1,9,2,6,3,3,2,11,4
2019,0,17,27,24,25,22,4,17,8,9,21,19,4,9,15,26,7,19,15,13,10,9,22
2019,0,9,28,1,2,1,5,19,5,3,4,3,13,14,27,1,6,7,5,6,8,9,17
2019,1,9,24,5,3,4,5,24,14,15,28,29,13,13,11,3,4,11,3,2,14,19,21
2019,1,9,22,11,5,10,7,23,17,8,23,18,8,26,17,17,10,24,15,9,23,11,20
2019,1,5,30,5,17,6,8,6,2,1,6,4,13,17,9,7,11,2,6,22,3,2,3
2019,1,29,21,15,3,7,9,10,18,14,15,7,5,23,14,21,8,11,6,6,11,15,12
2019,0,23,25,17,25,25,10,13,12,11,10,13,5,16,20,5,4,7,2,1,9,13,16
2019,0,23,23,19,30,25,11,16,9,10,20,22,8,11,13,17,9,24,15,9,16,2,13
2019,1,7,16,13,8,10,12,26,21,24,26,28,17,12,16,17,12,9,21,31,20,8,8
2019,1,7,18,3,12,10,13,11,11,20,30,23,21,4,2,9,14,9,14,20,12,6,11
2019,0,29,26,28,22,32,14,2,6,5,1,9,8,18,21,21,14,2,6,22,3,29,28
2019,1,9,17,13,22,19,15,5,10,19,21,13,21,3,3,14,16,4,6,14,5,4,27
2019,0,1,19,23,17,17,16,21,7,17,24,20,17,2,18,9,12,11,12,12,7,17,2
2019,0,5,20,4,12,9,17,26,13,12,18,13,13,19,24,21,18,17,24,28,14,18,24
2019,0,9,15,15,7,10,18,9,16,23,18,29,24,7,6,3,16,15,12,11,13,27,9
2019,1,17,6,26,17,15,19,18,28,29,25,25,27,25,10,9,20,14,26,32,26,31,10
2019,0,23,13,20,8,19,20,14,22,7,3,4,17,30,28,28,20,24,26,25,25,14,5
2019,0,17,11,7,25,22,21,11,24,16,5,8,12,28,22,31,22,23,21,16,21,23,13
2019,1,9,14,29,5,3,22,14,26,27,26,27,5,22,7,30,22,17,21,26,26,16,24
2019,0,17,12,29,17,19,23,7,20,22,8,17,23,15,19,14,19,19,19,19,18,21,26
2019,0,17,9,24,29,31,24,4,19,25,7,10,27,8,12,21,27,22,29,30,23,25,32
2019,0,23,7,26,22,28,25,20,29,21,2,2,17,32,32,27,22,16,11,5,17,25,19
2019,0,23,3,29,30,24,26,32,31,32,31,26,27,21,26,14,26,24,24,18,31,28,15
2019,0,29,4,10,12,15,27,30,27,18,11,23,30,31,31,17,28,28,28,24,28,32,30
2019,0,29,2,17,30,25,28,31,32,31,28,32,31,24,23,5,28,31,29,21,32,30,1
2019,0,3,10,7,17,5,29,29,15,30,32,31,25,1,4,7,25,30,18,6,19,5,18
2019,0,9,5,22,25,28,30,28,25,28,17,21,25,20,29,28,30,21,19,17,22,20,23
2019,0,9,8,2,8,17,31,22,23,13,12,12,8,29,25,32,31,32,32,29,29,21,31
2019,0,17,1,32,12,28,32,24,30,26,14,11,32,27,30,21,32,28,29,27,30,24,28
2018,1,1,32,3,1,1,1,20,3,7,29,23,8,1,2,1,1,1,1,5,1,4,18
2018,1,8,31,11,18,22,2,8,1,5,23,8,3,4,3,6,3,2,11,24,2,3,10
